pairIndex,type,appid,name,totalEnglishReviews,n_reviews_fetched,sample_size,fetched_vs_total_ratio,positivity_ratio,n_positive,charLen_mean,charLen_median,ts_earliest,ts_latest,days_span,sample_len_share_short,sample_len_share_medium,sample_len_share_long,full_len_share_short,full_len_share_medium,full_len_share_long,acceptanceScore,rankAcceptance,rankFiltered
1,bottom,3584190,Three Sisters,112,112,112,1.0,0.7410714285714286,83,430.44642857142856,113.5,1743282685,1758865980,180.36221064814814,0.3392857142857143,0.33035714285714285,0.33035714285714285,0.3482142857142857,0.3125,0.3392857142857143,3.470521,25085,15344
1,top,415880,Disc Jam,819,819,150,1.0,0.7557997557997558,619,272.2991452991453,107.0,1488900787,1748754266,3007.563414351852,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33577533577533575,0.32967032967032966,0.33455433455433453,5.654244,7776,1
2,bottom,435480,Trials of the Blood Dragon,146,146,146,1.0,0.6232876712328768,91,489.05479452054794,196.5,1465860569,1754755622,3343.6927430555556,0.3356164383561644,0.3219178082191781,0.3424657534246575,0.3356164383561644,0.3287671232876712,0.3356164383561644,3.470902,25066,15341
2,top,250460,Bridge Constructor,916,915,150,0.9989082969432315,0.7147540983606557,654,260.2393442622951,109.0,1382259103,1758915869,4359.453310185185,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33224043715846996,0.3344262295081967,5.653208,7780,5
3,bottom,48110,Silent Hunter 5: Battle of the Atlantic,1459,1459,150,1.0,0.41946538725154214,612,289.2111034955449,125.0,1293673304,1759182043,5387.832627314815,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33447566826593556,0.3331048663468129,0.33241946538725153,3.471863,25061,15336
3,top,1929360,Tumbleweed Destiny,84,84,84,1.0,0.9880952380952381,83,118.89285714285714,66.0,1649012152,1750277686,1172.0547916666667,0.34523809523809523,0.3333333333333333,0.32142857142857145,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.65228,7782,7
4,bottom,1555650,HEXCRAFT: Harlequin Fair,55,55,55,1.0,0.8727272727272727,48,478.5272727272727,228.0,1634998166,1755910749,1399.4511921296296,0.32727272727272727,0.32727272727272727,0.34545454545454546,0.32727272727272727,0.32727272727272727,0.34545454545454546,3.471894,25057,15332
4,top,312370,"Warhammer 40,000: Armageddon",714,714,150,1.0,0.8263305322128851,590,565.8557422969187,219.0,1417005140,1757442462,3940.2467824074074,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3319327731092437,0.33473389355742295,5.649946,7797,22
5,bottom,435020,AFL Evolution,101,101,101,1.0,0.7524752475247525,76,310.76237623762376,150.0,1500623589,1700998873,2319.1583796296295,0.32673267326732675,0.32673267326732675,0.3465346534653465,0.33663366336633666,0.32673267326732675,0.33663366336633666,3.501551,24704,15117
5,top,1273440,OverDrift Festival,637,637,150,1.0,0.7943485086342229,506,228.82574568288854,71.0,1653563522,1756040035,1186.0707523148149,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33437990580847726,0.3328100470957614,0.3328100470957614,5.628377,7877,97
