token,count,freq_per_1k
the,13607,48.45763206814766
to,8068,28.731989088396805
and,7664,27.29325289705914
game,7304,26.011210746362206
it,6751,24.04185155376386
of,5523,19.668663328608773
you,5109,18.194314855307297
is,5103,18.17294748612902
this,4416,15.726383715215702
for,3146,11.203623905812636
in,2999,10.680123360944723
that,2889,10.288388259342883
but,2799,9.967877721668648
with,2372,8.447233281814231
on,2120,7.54980377632638
not,2093,7.4536506150241095
are,1914,6.8161907678720235
have,1900,6.766333573122699
if,1737,6.185853377112698
can,1576,5.612495637495459
be,1568,5.584005811924416
like,1556,5.541271073567851
as,1508,5.370332120141595
so,1284,4.572617004152392
play,1283,4.569055775956012
fun,1274,4.5370047221885885
just,1234,4.394555594333374
get,1206,4.294841204834723
good,1200,4.273473835656442
there,1166,4.152392076979509
or,1151,4.098973654033803
your,1110,3.952963297982208
more,1067,3.799830485537852
my,1056,3.7606569753776684
all,1036,3.6894324114500607
was,1021,3.636013988504355
at,1017,3.621769075718834
very,971,3.4579525786853367
some,937,3.3368708200084045
they,913,3.2514013432952757
no,910,3.2407176587061346
from,880,3.1338808128147235
will,839,2.9878704567631282
an,832,2.962941859388466
really,824,2.934452033817423
time,815,2.90240098005
me,807,2.873911154478957
games,805,2.866788698086196
one,783,2.7884416777658276
its,777,2.7670743085875458
even,773,2.752829395802024
do,771,2.7457069394092635
would,762,2.71365588564184
great,759,2.702972201052699
only,753,2.6816048318744166
when,738,2.6281864089287112
up,725,2.5818904423757667
out,722,2.5712067577866256
what,712,2.5355944758228217
has,648,2.307675871254478
10,643,2.289869730272576
don,629,2.240012535523251
which,615,2.1901553407739263
bridge,612,2.179471656184785
much,588,2.094002179471656
then,536,1.908818313259877
units,536,1.908818313259877
about,509,1.8126651519576071
because,503,1.7912977827793248
by,499,1.7770528699938035
still,494,1.7592467290119016
make,489,1.74144058803
other,489,1.74144058803
also,481,1.7129507624589568
buy,481,1.7129507624589568
played,470,1.6737772522987728
steam,456,1.6239200575494477
after,447,1.5918690037820242
than,444,1.5811853191928833
better,439,1.5633791782109816
ubisoft,436,1.5526954936218402
how,433,1.542011809032699
too,433,1.542011809032699
40k,429,1.5277668962471778
want,425,1.5135219834616562
into,425,1.5135219834616562
playing,424,1.509960755265276
work,422,1.502838298872515
now,420,1.4957158424797545
well,419,1.4921546142833741
them,413,1.4707872451050918
had,410,1.4601035605159507
lot,409,1.4565423323195705
go,400,1.424491278552147
hours,397,1.413807593963006
recommend,396,1.4102463657666255
first,392,1.396001452981104
love,385,1.3710728556064415
re,375,1.335460573642638
way,373,1.3283381172498772
pretty,372,1.3247768890534968
many,361,1.2856033788933128
most,358,1.2749196943041716
ve,356,1.2677972379114109
over,354,1.26067478151865
graphics,353,1.2571135533222697
could,344,1.2250624995548465
worth,342,1.2179400431620857
money,338,1.2036951303765642
any,337,1.200133902180184
gameplay,337,1.200133902180184
been,335,1.1930114457874232
best,334,1.1894502175910426
should,326,1.16096039202
need,319,1.136031794645337
nice,318,1.132470566448957
while,316,1.1253481100561962
people,316,1.1253481100561962
based,314,1.1182256536634354
think,313,1.114664425467055
got,313,1.114664425467055
physics,309,1.1004195126815335
turn,307,1.093297056288773
warhammer,304,1.0826133716996318
see,300,1.0683684589141105
bit,300,1.0683684589141105
bad,294,1.047001089735828
little,293,1.0434398615394478
price,292,1.0398786333430674
does,291,1.036317405146687
bugs,291,1.036317405146687
know,288,1.0256337205575459
different,286,1.0185112641647853
few,286,1.0185112641647853
where,285,1.0149500359684047
who,283,1.007827579575644
back,279,0.9935826667901225
every,278,0.9900214385937423
new,278,0.9900214385937423
same,278,0.9900214385937423
being,278,0.9900214385937423
free,277,0.9864602103973619
use,277,0.9864602103973619
silent,276,0.9828989822009814
say,274,0.9757765258082208
find,274,0.9757765258082208
their,273,0.9722152976118403
hard,264,0.9401642438444171
feel,261,0.929480559255276
doesn,261,0.929480559255276
though,260,0.9259193310588956
never,260,0.9259193310588956
hunter,253,0.900990733684233
uplay,252,0.8974295054878527
campaign,251,0.8938682772914722
players,247,0.8796233645059508
right,246,0.8760621363095704
far,246,0.8760621363095704
mods,246,0.8760621363095704
bridges,242,0.861817223524049
panzer,240,0.8546947671312882
made,238,0.8475723107385275
ll,238,0.8475723107385275
off,236,0.8404498543457667
sale,236,0.8404498543457667
enough,236,0.8404498543457667
easy,234,0.833327397953006
around,234,0.833327397953006
again,234,0.833327397953006
try,233,0.8297661697566256
story,232,0.8262049415602454
something,230,0.8190824851674846
through,229,0.8155212569711041
down,228,0.8119600287747238
unit,226,0.8048375723819631
car,225,0.8012763441855828
why,225,0.8012763441855828
give,223,0.794153887792822
levels,223,0.794153887792822
thing,223,0.794153887792822
things,222,0.7905926595964416
mission,221,0.7870314314000613
without,220,0.7834702032036809
long,220,0.7834702032036809
strategy,220,0.7834702032036809
were,218,0.7763477468109201
player,216,0.7692252904181593
going,215,0.7656640622217791
version,212,0.754980377632638
am,209,0.7442966930434968
run,207,0.7371742366507361
here,206,0.7336130084543557
old,204,0.726490552061595
however,203,0.7229293238652147
quite,203,0.7229293238652147
point,202,0.7193680956688343
actually,201,0.7158068674724539
ever,201,0.7158068674724539
makes,201,0.7158068674724539
did,201,0.7158068674724539
experience,198,0.7051231828833128
we,197,0.7015619546869324
start,197,0.7015619546869324
look,195,0.6944394982941717
feels,194,0.6908782700977913
level,193,0.687317041901411
cars,192,0.6837558137050306
since,192,0.6837558137050306
full,190,0.6766333573122699
war,188,0.6695109009195092
simple,187,0.6659496727231287
those,186,0.6623884445267484
before,186,0.6623884445267484
nothing,185,0.658827216330368
mod,185,0.658827216330368
controls,184,0.6552659881339876
take,181,0.6445823035448466
enjoy,181,0.6445823035448466
online,180,0.6410210753484662
world,178,0.6338986189557054
steel,178,0.6338986189557054
trials,178,0.6338986189557054
these,177,0.630337390759325
each,175,0.6232149343665644
drift,172,0.6125312497774232
real,171,0.6089700215810429
looking,171,0.6089700215810429
isn,171,0.6089700215810429
sub,170,0.6054087933846626
another,168,0.5982863369919018
times,168,0.5982863369919018
dlc,168,0.5982863369919018
might,168,0.5982863369919018
dont,167,0.5947251087955213
seems,167,0.5947251087955213
missions,167,0.5947251087955213
getting,165,0.5876026524027607
h1,165,0.5876026524027607
having,165,0.5876026524027607
disc,165,0.5876026524027607
review,164,0.5840414242063803
armageddon,164,0.5840414242063803
bought,162,0.5769189678136195
two,162,0.5769189678136195
fan,161,0.5733577396172392
such,161,0.5733577396172392
once,160,0.5697965114208589
overall,160,0.5697965114208589
cant,158,0.5626740550280981
fix,157,0.5591128268317177
sure,157,0.5591128268317177
general,157,0.5591128268317177
maybe,156,0.5555515986353373
cool,154,0.5484291422425766
pc,152,0.5413066858498159
always,152,0.5413066858498159
needs,151,0.5377454576534355
support,151,0.5377454576534355
trying,149,0.5306230012606747
mechanics,148,0.5270617730642945
map,148,0.5270617730642945
keep,147,0.523500544867914
yet,146,0.5199393166715337
content,145,0.5163780884751533
probably,145,0.5163780884751533
ai,144,0.5128168602787729
building,144,0.5128168602787729
everything,143,0.5092556320823927
end,143,0.5092556320823927
build,142,0.5056944038860122
able,141,0.5021331756896319
least,141,0.5021331756896319
amazing,140,0.49857194749325145
own,139,0.4950107192968711
sometimes,139,0.4950107192968711
system,138,0.4914494911004907
away,138,0.4914494911004907
works,137,0.4878882629041104
years,137,0.4878882629041104
let,136,0.48432703470773003
add,134,0.47720457831496926
mode,133,0.4736433501185889
anything,133,0.4736433501185889
friends,132,0.47008212192220855
both,132,0.47008212192220855
especially,131,0.46652089372582817
won,131,0.46652089372582817
td,130,0.4629596655294478
must,130,0.4629596655294478
waste,130,0.4629596655294478
community,129,0.4593984373330674
issues,129,0.4593984373330674
wolves,129,0.4593984373330674
didn,128,0.45583720913668707
big,128,0.45583720913668707
points,127,0.4522759809403067
said,126,0.44871475274392636
awesome,125,0.445153524547546
less,125,0.445153524547546
drifting,123,0.4380310681547852
found,123,0.4380310681547852
instead,123,0.4380310681547852
definitely,122,0.4344698399584048
update,122,0.4344698399584048
decent,122,0.4344698399584048
almost,121,0.4309086117620245
controller,121,0.4309086117620245
already,121,0.4309086117620245
problem,121,0.4309086117620245
put,120,0.4273473835656441
yes,120,0.4273473835656441
top,120,0.4273473835656441
against,120,0.4273473835656441
corps,120,0.4273473835656441
used,119,0.42378615536926373
challenging,119,0.42378615536926373
constructor,119,0.42378615536926373
wish,118,0.42022492717288334
blood,118,0.42022492717288334
making,117,0.416663698976503
learn,117,0.416663698976503
devs,116,0.4131024707801227
etc,116,0.4131024707801227
difficulty,116,0.4131024707801227
open,115,0.4095412425837423
looks,115,0.4095412425837423
may,115,0.4095412425837423
complete,114,0.4059800143873619
done,114,0.4059800143873619
broken,114,0.4059800143873619
save,113,0.40241878619098154
type,113,0.40241878619098154
fine,113,0.40241878619098154
set,113,0.40241878619098154
ok,113,0.40241878619098154
series,113,0.40241878619098154
difficult,112,0.39885755799460115
thought,112,0.39885755799460115
high,112,0.39885755799460115
pick,111,0.3952963297982208
interesting,111,0.3952963297982208
kind,111,0.3952963297982208
due,111,0.3952963297982208
hope,110,0.39173510160184044
style,110,0.39173510160184044
come,110,0.39173510160184044
developers,109,0.38817387340546006
tried,109,0.38817387340546006
wait,108,0.3846126452090797
until,108,0.3846126452090797
sim,108,0.3846126452090797
life,108,0.3846126452090797
wheel,107,0.38105141701269934
either,107,0.38105141701269934
main,107,0.38105141701269934
space,107,0.38105141701269934
enemy,107,0.38105141701269934
please,106,0.377490188816319
stuff,106,0.377490188816319
between,106,0.377490188816319
music,106,0.377490188816319
part,106,0.377490188816319
characters,106,0.377490188816319
last,106,0.377490188816319
using,106,0.377490188816319
40,105,0.37392896061993863
gets,105,0.37392896061993863
seem,105,0.37392896061993863
cannot,104,0.37036773242355825
buying,104,0.37036773242355825
move,103,0.36680650422717787
super,103,0.36680650422717787
working,102,0.3632452760307975
lots,102,0.3632452760307975
anyone,101,0.35968404783441715
battle,101,0.35968404783441715
servers,100,0.35612281963803677
expect,100,0.35612281963803677
sh5,100,0.35612281963803677
second,99,0.3525615914416564
itself,99,0.3525615914416564
com,99,0.3525615914416564
buggy,99,0.3525615914416564
minutes,99,0.3525615914416564
during,99,0.3525615914416564
sh3,99,0.3525615914416564
change,98,0.349000363245276
boring,98,0.349000363245276
multiplayer,98,0.349000363245276
reason,98,0.349000363245276
reviews,98,0.349000363245276
universe,98,0.349000363245276
amount,97,0.3454391350488957
next,97,0.3454391350488957
submarine,97,0.3454391350488957
small,96,0.3418779068525153
available,96,0.3418779068525153
fast,96,0.3418779068525153
short,96,0.3418779068525153
takes,96,0.3418779068525153
similar,95,0.33831667865613496
hit,95,0.33831667865613496
league,95,0.33831667865613496
options,94,0.3347554504597546
help,94,0.3347554504597546
combat,93,0.3311942222633742
download,92,0.3276329940669938
single,92,0.3276329940669938
potential,92,0.3276329940669938
