token,count,freq_per_1k
the,1915,47.072415318814215
to,1140,28.022221129737968
it,1071,26.326139324516983
and,1022,25.12167543385281
game,1003,24.654638415023843
you,835,20.52504793274667
of,745,18.31276731724104
is,662,16.272552971830294
this,652,16.02674401455189
bridge,601,14.773118332432034
for,501,12.315028759648001
that,493,12.118381593825278
but,433,10.64352785015486
in,394,9.684872916769086
not,325,7.988791111548104
fun,320,7.865886632908903
on,312,7.6692394670861805
with,302,7.423430509807778
are,283,6.956393490978812
if,257,6.317290202054963
can,256,6.292709306327122
have,248,6.0960621405044
as,248,6.0960621405044
be,242,5.948576766137358
bridges,242,5.948576766137358
like,215,5.2848925814856695
physics,203,4.989921832751585
just,182,4.473723022466939
your,179,4.399980335283418
my,176,4.326237648099897
very,175,4.301656752372057
there,172,4.227914065188536
good,172,4.227914065188536
or,172,4.227914065188536
get,170,4.178752273732855
more,169,4.154171378005015
at,156,3.8346197335430903
so,154,3.7854579420874095
all,154,3.7854579420874095
one,153,3.7608770463595693
some,148,3.637972567720368
time,145,3.564229880536847
was,143,3.5150680890811663
levels,142,3.490487193353326
an,140,3.4413254018976454
me,138,3.3921636104419646
10,136,3.343001818986284
building,136,3.343001818986284
build,128,3.146354653163561
really,128,3.146354653163561
would,125,3.07261196598004
only,124,3.0480310702522
when,122,2.998869278796519
games,121,2.974288383068679
constructor,119,2.9251265916129983
play,114,2.8022221129737965
what,109,2.6793176343345952
out,106,2.605574947151074
its,105,2.5809940514232337
will,105,2.5809940514232337
they,104,2.5564131556953935
don,101,2.4826704685118726
from,100,2.458089572784032
much,98,2.4089277813283516
no,98,2.4089277813283516
which,97,2.384346885600511
up,95,2.33518509414483
great,93,2.28602330268915
do,91,2.2368615112334695
has,87,2.1385379283221084
than,85,2.0893761368664276
too,85,2.0893761368664276
puzzle,81,1.9910525539550659
even,81,1.9910525539550659
because,81,1.9910525539550659
about,80,1.9664716582272257
how,80,1.9664716582272257
make,78,1.9173098667715451
level,77,1.8927289710437047
well,76,1.8681480753158646
little,76,1.8681480753158646
better,75,1.8435671795880242
after,75,1.8435671795880242
other,74,1.818986283860184
them,73,1.7944053881323436
simple,71,1.745243596676663
trucks,70,1.7206627009488227
also,69,1.6960818052209823
nice,66,1.6223391180374613
first,66,1.6223391180374613
materials,65,1.597758222309621
by,65,1.597758222309621
then,65,1.597758222309621
while,64,1.5731773265817806
want,64,1.5731773265817806
different,63,1.5485964308539404
budget,63,1.5485964308539404
lot,61,1.4994346393982596
way,61,1.4994346393982596
over,61,1.4994346393982596
pretty,60,1.4748537436704194
sale,60,1.4748537436704194
vehicles,60,1.4748537436704194
into,58,1.4256919522147387
bad,58,1.4256919522147387
played,58,1.4256919522147387
mobile,57,1.4011110564868983
worth,56,1.376530160759058
re,56,1.376530160759058
still,56,1.376530160759058
h1,56,1.376530160759058
same,55,1.3519492650312177
recommend,54,1.3273683693033773
truck,53,1.302787473575537
playing,53,1.302787473575537
work,53,1.302787473575537
many,53,1.302787473575537
most,53,1.302787473575537
ve,53,1.302787473575537
every,52,1.2782065778476968
hours,52,1.2782065778476968
think,51,1.2536256821198564
few,51,1.2536256821198564
go,51,1.2536256821198564
