appid,reviewId,cluster_id,cluster_size
48110,452944,7,17
48110,2602918,7,17
48110,6203450,9,4
48110,7940031,3,35
48110,8557493,3,35
48110,9212344,10,3
48110,9504969,7,17
48110,9600159,1,20
48110,9709571,3,35
48110,10204224,7,17
48110,10655915,8,10
48110,11611591,3,35
48110,11802827,8,10
48110,12130245,1,20
48110,12379500,5,6
48110,12647929,11,14
48110,13247590,1,20
48110,13523334,3,35
48110,13581354,11,14
48110,14599902,3,35
48110,14768994,6,11
48110,15159456,1,20
48110,15171173,2,21
48110,15215927,3,35
48110,16033810,3,35
48110,16066677,2,21
48110,16431914,3,35
48110,17018696,11,14
48110,17278325,5,6
48110,18605415,1,20
48110,18626913,7,17
48110,18975550,8,10
48110,19173746,3,35
48110,20864839,4,7
48110,20961981,1,20
48110,21114457,9,4
48110,21237349,11,14
48110,22508486,2,21
48110,23267318,11,14
48110,23289936,7,17
48110,23687606,3,35
48110,23943431,7,17
48110,24885603,1,20
48110,24901031,2,21
48110,26275547,11,14
48110,28404971,5,6
48110,29393250,1,20
48110,29921547,10,3
48110,30107841,3,35
48110,30803768,7,17
48110,31404377,7,17
48110,31550156,1,20
48110,33834151,7,17
48110,34070005,10,3
48110,34266226,2,21
48110,35786243,1,20
48110,36337522,3,35
48110,37103233,9,4
48110,38200439,4,7
48110,39131404,3,35
48110,40124648,6,11
48110,41044762,1,20
48110,41361048,1,20
48110,42112274,7,17
48110,42780332,7,17
48110,43236054,1,20
48110,43388361,7,17
48110,44415020,11,14
48110,45182819,1,20
48110,46805846,1,20
48110,47153339,3,35
48110,47584830,3,35
48110,48133856,1,20
48110,48464342,0,2
48110,49496077,0,2
48110,49884413,1,20
48110,49948749,3,35
48110,50165559,2,21
48110,50514448,3,35
48110,50716898,1,20
48110,51216350,6,11
48110,54070435,3,35
48110,54755901,11,14
48110,55103760,7,17
48110,55605287,3,35
48110,59440093,3,35
48110,59613978,3,35
48110,60289637,9,4
48110,60816650,2,21
48110,62315780,6,11
48110,63231032,11,14
48110,63514158,2,21
48110,64145853,3,35
48110,64820416,3,35
48110,65329037,7,17
48110,67076683,2,21
48110,68210846,5,6
48110,68341033,5,6
48110,69368749,4,7
48110,70478477,1,20
48110,70631996,3,35
48110,72702219,1,20
48110,73051569,3,35
48110,73444308,3,35
48110,74488880,3,35
48110,75394401,6,11
48110,76695826,11,14
48110,82203057,2,21
48110,82449598,3,35
48110,82817260,3,35
48110,83940107,3,35
48110,84244133,3,35
48110,87373270,4,7
48110,87385925,8,10
48110,89316508,6,11
48110,91733874,11,14
48110,91793992,3,35
48110,94646433,2,21
48110,94750865,11,14
48110,95059014,8,10
48110,95203001,6,11
48110,98479799,2,21
48110,102614164,6,11
48110,102827155,2,21
48110,113775711,8,10
48110,113883442,8,10
48110,114397332,11,14
48110,115297855,8,10
48110,115708952,2,21
48110,116735808,2,21
48110,118778126,7,17
48110,120363278,2,21
48110,125148056,8,10
48110,131360822,2,21
48110,135520119,11,14
48110,141173861,2,21
48110,141226482,3,35
48110,142931325,8,10
48110,143279597,2,21
48110,147584089,6,11
48110,154111709,4,7
48110,162318004,6,11
48110,162628287,3,35
48110,174793762,7,17
48110,177235181,5,6
48110,178001297,4,7
48110,183262460,2,21
48110,188728040,2,21
48110,195914193,6,11
48110,201066084,4,7
250460,7842025,3,20
250460,8335658,2,9
250460,8391021,5,14
250460,8838323,0,13
250460,8953905,0,13
250460,9250834,8,21
250460,9275906,3,20
250460,9309601,7,6
250460,9501082,3,20
250460,9659506,6,32
250460,9697835,5,14
250460,9707307,3,20
250460,9713164,3,20
250460,9719007,3,20
250460,9741840,6,32
250460,9809340,8,21
250460,9813388,0,13
250460,9814975,11,6
250460,9865831,6,32
250460,9930392,3,20
250460,10021682,0,13
250460,10158070,0,13
250460,10173287,4,14
250460,10213125,0,13
250460,10308727,3,20
250460,10543278,6,32
250460,10559558,5,14
250460,10574424,1,9
250460,10594188,8,21
250460,10640371,0,13
250460,11074223,10,5
250460,11074714,6,32
250460,11080835,8,21
250460,11096463,1,9
250460,11395027,6,32
250460,11478834,4,14
250460,12015425,6,32
250460,12292975,8,21
250460,12365101,6,32
250460,12704358,4,14
250460,12843667,6,32
250460,13054646,5,14
250460,13134131,3,20
250460,13437506,1,9
250460,13631520,1,9
250460,13672143,10,5
250460,13813296,6,32
250460,14408740,11,6
250460,14484732,3,20
250460,14695219,8,21
250460,14760122,1,9
250460,14896939,8,21
250460,15881214,3,20
250460,15996540,6,32
250460,16645374,10,5
250460,16840872,5,14
250460,17591763,6,32
250460,17987021,5,14
250460,18016928,0,13
250460,18587512,4,14
250460,19257872,3,20
250460,19786664,6,32
250460,20468768,11,6
250460,20675818,3,20
250460,20868970,6,32
250460,21144697,4,14
250460,21491547,8,21
250460,21843204,3,20
250460,21849536,1,9
250460,22748815,11,6
250460,23173846,3,20
250460,23465914,4,14
250460,24502557,6,32
250460,25349935,0,13
250460,26173029,1,9
250460,26278609,8,21
250460,29076648,5,14
250460,29448959,8,21
250460,30000993,6,32
