appid,cluster_id,rep_reviewId,cluster_size
48110,0,48464342,2
48110,1,50716898,20
48110,2,143279597,21
48110,3,39131404,35
48110,4,38200439,7
48110,5,12379500,6
48110,6,40124648,11
48110,7,18626913,17
48110,8,87385925,10
48110,9,21114457,4
48110,10,29921547,3
48110,11,76695826,14
250460,0,10213125,13
250460,1,14760122,9
250460,2,51704104,9
250460,3,196017769,20
250460,4,12704358,14
250460,5,117776873,14
250460,6,111798668,32
250460,7,40402674,6
250460,8,9250834,21
250460,9,173476089,1
250460,10,126744524,5
250460,11,183753218,6
312370,0,39901045,1
312370,1,70739681,18
312370,2,76135803,10
312370,3,28967050,26
312370,4,47794678,10
312370,5,139303923,26
312370,6,79178186,4
312370,7,42700989,11
312370,8,17838547,12
312370,9,31556578,6
312370,10,169278620,2
312370,11,19277717,24
415880,0,39988884,1
415880,1,42294593,23
415880,2,33612177,24
415880,3,107634484,31
415880,4,33587581,2
415880,5,52094657,10
415880,6,90755612,11
415880,7,32138857,7
415880,8,41595388,30
415880,9,33577001,7
415880,10,48265016,2
415880,11,33637280,2
435020,0,99708347,14
435020,1,49828052,35
435020,2,34209018,2
435020,3,72082975,7
435020,4,39227290,2
435020,5,75410179,17
435020,6,76845415,4
435020,7,33699161,2
435020,8,33823675,5
435020,9,33825419,13
435480,0,99788403,1
435480,1,75342180,19
435480,2,49023286,12
435480,3,23620185,42
435480,4,23665196,1
435480,5,23545841,13
435480,6,65516758,22
435480,7,189375153,14
435480,8,201782175,4
435480,9,38475536,2
435480,10,89799218,13
435480,11,164196406,3
1273440,0,128869815,7
1273440,1,193422189,19
1273440,2,121962767,25
1273440,3,123898277,6
1273440,4,132655626,2
1273440,5,118271337,21
1273440,6,130134868,26
1273440,7,134246785,10
1273440,8,116548352,25
1273440,9,116752903,2
1273440,10,118180061,4
1273440,11,146985792,3
1555650,0,184150384,1
1555650,1,106563303,3
1555650,2,101928635,9
1555650,3,116169232,7
1555650,4,191418185,3
1555650,5,131639025,10
1555650,6,148062484,1
1555650,7,101808329,21
1929360,0,114488004,2
1929360,1,149549330,19
1929360,2,162450356,3
1929360,3,114080341,13
1929360,4,122052098,9
1929360,5,114373548,16
1929360,6,131629586,3
1929360,7,114886658,1
1929360,8,117548116,18
3584190,0,198487221,41
3584190,1,191859333,4
3584190,2,198604647,1
3584190,3,198258502,1
3584190,4,191940162,4
3584190,5,192388517,18
3584190,6,192991372,18
3584190,7,192030675,6
3584190,8,191880261,3
3584190,9,192149775,12
3584190,10,191758222,4
