appid,cluster_id,summary_text,summary_n_reviews,source_reviewIds
48110,0,a lot of trouble to get running and still freezing when it goes to auto save witch you can't turn off not working. does not run with sound and shuts down after its warm up trailer,2,"49496077,48464342"
48110,1,"This game is a huge disappointment, the graphics are beautiful, i love being able to free walk all over the sub, however everything else about this game is broken. You have to mod it just to finish the game(this is the tonnage bar bug thing, pretty much doesn't count any ship you knock down) and then the mods pretty much mess the game up even more with MORE bugs to deal with, now you have to spend...",3,"20961981,45182819,41361048"
48110,2,"Cannot reccomend this game why?

This awesome game is tied to Ubisoft uplay/ubisoft connect. To get the game to run you will need to 

1. download Ubisoft connect 

2. uninstall uplay 

3. Sign into or make a Ubisoft account

4. Take your steam game key and redeem it on Ubisoft launcher 

5. You can now play this game on steam

Seems easy enough right? Well Ubisoft is tanking faster right now than...",3,"183262460,115708952,141173861"
48110,3,"I didn't have a problem running the game, not sure why other people are having issues. The only mention of uPlay is when it synchronizes saves online.

As for the game itself:

For people looking for some casual submarine fun I do NOT recommend this game, cold waters is better for that kind of experience. SH5 has issues that require some extra effort to work around, it's by no means a plug and pla...",3,"36337522,55605287,13523334"
48110,4,I don't understand how they are still allowed to sell this broken piece of trash I could not get it to load up to enter the product key . Can't even play the game. get Error code 1,3,"87373270,178001297,38200439"
48110,5,"Some nice ideas and graphics are ok, but it is buggy as ****. You will face a nice first campaign but it might happen pretty fast: you are not able to proceed because of a bug in mission saving. It is unbelievable how many times I needed to reload and even restart the game so the real accomplished mission stats where ""approved by the game"". Like others said before me, the developers do not care ab...",3,"28404971,12379500,68210846"
48110,6,долго парился но все теперь ок MAN THE DECK GUNNN love this game.,3,"14768994,95203001,147584089"
48110,7,"I know, I know ...

The game is busted.  It doesn't work.  Bugs all over the place.  Don't buy it ...

... and so on, and so forth.

However, in years past, I've played this game for hours on end, without any bugs, no CTDs, nothing.  So, how did I do it?

Mods.  Mods are the key to just about every game from Ubisoft (which is not one of my favorite game publishers, but they do have some great idea...",3,"42112274,174793762,10204224"
48110,8,"I've logged a lot of hours on this game, so I hope what i've got to say doesn't fall on deaf ears here.  Suffice to say, its worth the purchase, so long as you are committed to modding the game and spending some time getting to know the subsim community. 

 If you're not up for that, you're not prepared to be a successful submarine sim captain.  All this game will give you is grief. 

On the other...",3,"11802827,115297855,87385925"
48110,9,10/10 would let destroyers swim over me and salvo shoot the battleship they're guarding again. always fun to just relax and shoot ships. fun. Torpedo Los!,3,"37103233,21114457,6203450"
