Authors	Title	Year	Abstract	Author Keywords	Page start	Page end	Page count	Source	!	D	I1	I2	I3a	I3b	I3c	I3d	I3e
Adams Edie; Des M.E.; Sanders Elizabeth B.-N.	Evaluation of the fun factor for the Microsoft Easyball mouse	1995	Microsoft was interested in measuring the 'fun' value of a new input device, the Microsoft EasyBall mouse (designed specifically for two to six year olds), relative to three other input devices available in the marketplace. An evaluation was conducted as a means of ensuring that the ergonomic considerations incorporated into the design of a new child's pointing device addressed the emotional needs, as well as the physical and cognitive needs, of the intended users. A research and test methodology was established to look at this issue from multiple simultaneous perspectives, using both behavioral and verbal measures. Forty four children (half boys and half girls, mixed across the age levels) and their parents were included in the study. The children varied in their level of expertise with computer and/or video games. The same basic procedure was used for all the children, with adaptations made to accommodate the attention spans and skill levels of the youngest. The children indicated through a variety of converging measures that the Microsoft EasyBall mouse was their input device of choice. The patterns of behavior varied across the age groups, but the choices of the children were clearly in favor of the Microsoft EasyBall mouse. The parents were quite accurate at predicting which input device their child would pick. A detailed examination of the videotaped sessions provided cues that caused a rethinking of the initial question 'How fun is the Microsoft EasyBall mouse relative to the other input devices?'. The fun factor may have been more accurately described as a 'feel good' factor. Results are discussed in terms of implications for expanding the typical physical and cognitive-based ergonomics analyses for consumer products to include emotional considerations as well.		311	315	4	Scopus			?	?	O	O	X		
Kahn K.	ToonTalk™-An animated programming environment for children	1996	Seymour Papert once described the design of the Logo programming language as taking the best ideas in computer science about programming language design and 'child engineering' them. Twenty-five years after Logo's birth, there has been tremendous progress in programming language research and in computer-human interfaces. Programming languages exist now that are very expressive and mathematically very elegant and yet are difficult to learn and master. We believe the time is now ripe to attempt to repeat the success of the designers of Logo by child engineering one of these modern languages. When Logo was first built, a critical aspect was taking the computational constructs of the Lisp programming language and designing a child friendly syntax for them. Lisp's 'CAR' was replaced by 'FIRST', 'DEFUN' by 'TO', parentheses were eliminated, and so on. Today there are totally visual languages in which programs exist as pictures and not as text. We believe this is a step in the right direction, but even better than visual programs are animated programs. Animation is much better suited for dealing with the dynamics of computer programs than static icons or diagrams. While there has been substantial progress in graphical user interfaces in the last twenty-five years, we chose to look not primarily at the desktop metaphor for ideas but instead at video games. Video games are typically more direct, more concrete, and easier to learn than other software. And more fun too. We have constructed a general-purpose concurrent programming system, ToonTalk, in which the source code is animated and the programming environment is a video game. Every abstract computational aspect is mapped into a concrete metaphor. For example, a computation is a city, an active object or agent is a house, birds carry messages between houses, a method or clause is a robot trained by the user and so on. The programmer controls a 'programmer persona' in this video world to construct, run, debug and modify programs. We believe that ToonTalk is especially well suited for giving children the opportunity to build real programs in a manner that is easy to learn and fun to do. © 1996 Academic Press Limited.		197	217	20	Scopus			X	?	O	O	O		
Gillespie T.	Digital storytelling and computer game design	1997	This workshop uses a combination of short lecture and hands on practice to introduce digital storytelling and computer game design and the multitude of skills needed to successfully design digital stories and computer games. Working examples are taken from two current projects at Indiana University: Lost Highways and Rock- Paper-Scissors in Lizard Land. ©1997 Copyright on this material is held by the author.	Computer game design; Digital storytelling; Fun; HMI; Human-media interaction	148	149	1	Scopus			?	?	O	O	X		
Cullen K.W.; Baranowski T.; Baranowski J.	Computer software design for children's recording of food intake	1998	Computers provide exciting possibilities for enhancing children's dietary recording. Class discussions were conducted with 20 third-through fifth-grade classes (n = 337 students) to identify preferred computer game formats, assess student ability to quantify and record portion sizes, and collect information on recall of eating habits. Receiving immediate gratification (e.g., challenging, fun) was the most frequent reason for playing computer games. Quantifying food amounts was difficult. Most students preferred selecting "mounds" (not measuring cups) to record amount eaten. Although most students could identify type of milk consumed, they were less sure of margarine/butter or mayonnaise type.		405	409	4	Scopus			?	?	O	O	X		
Draper S.W.	Anatgsing fun as a candidate software requirement	1999	Analysis of concepts related to "fun" is used to suggest the main areas where fun may be important to software design. The issue is important as many analyses and design methods fail to allow for designs aimed at user enjoyment, even though computer games are now a major industry. The main cases seem to be either where enjoyment is the chief aim (requirement) of the design, or where learning is important. The phenomena of "flow" experiences are also important here, and raise the issue of designing for desirable cognitive modes of interaction, as well as for desired end results. However the relationship of learning and fun, while clearly important, is complicated. © Springer-Verlag London Ltd.	Computers; Design methods; Flow; Fun; Motivation	117	122	5	Scopus			O	O	O	O	O	O	O
Choi D.; Kim H.; Kim J.	Toward the construction of fun computer games: Differences in the views of developers and players	1999	Even though most games have been developed so that users have fun, there has been little research to address the elements of games that create the perception of being fun. The objectives of this research are to focus on which features people think provide fun, and then analyse these aspects both qualitatively and quantitatively. This study first identified important design factors that may contribute to making a computer game fun, which is then organised as an analytic hierarchy. Based on the hierarchy, we surveyed both game developers and game players about how important they thought some factors are in making a game fun. The comparison between game players and developers {ndicates that the relative preferences about the game design factors are not the same between the two groups. This study concludes with limitations and implications of study results in the development of fun computer games. © Springer-Verlag London Ltd.	Challenge; Fun; Game; Imaginativeness; Satisfaction; Vividness	92	104	12	Scopus	!!		O	O	O	O	O	O	O
Johnson C.	Taking fun seriously: Using cognitive models to reason about interaction with computer games	1999	This paper seeks to extend the application of techniques from affective psychology to show how cognitive models can be used to represent and reason about interaction with computer games. It is argued that this modelling activity provides insights into the motivational appeal that often distinguishes computer games from other forms of human computer interaction. The long-term aim behind this research is to use our improved understanding of interaction with computer games to inform the subsequent development of more general classes of interactive systems. Barnard's Interacting Cognitive Subsystems (ICS) is used throughout this paper. This decision is justified by the fact that ICS has already been applied to analyse the negative emotions surrounding clinical depression. This previous work provides a useful starting point for our investigation of the more positive emotions evoked during interaction with computer games. A further justification is that ICS has also been successfully used to represent and reason about the design of human computer interfaces. © Springer-Verlag London Ltd.	Computer games; Fun; Human-computer interaction; User modelling	105	116	11	Scopus			X1	O	O	O	O		
C. Seals; M. B. Rosson; J. M. Carroll; T. Lewis; L. Colson	Fun learning Stagecast Creator: an exercise in minimalism and collaboration	2002	We are attempting to create a cross-generational learning community who will work together to design, construct, and discuss simulations of community topics. The simulations are built with Stagecast Creator, a state-of-the art visual programming environment. As part of this larger project, we have developed minimalist training materials for middle school students. This paper reports a formative evaluation of these training materials, in which groups of students worked together on two related tutorial modules. In general the students were successful in their work with Creator, needing little aid from the experimenters, and showing evidence of enjoyment. Our aim is to develop materials that will attract participation and enable students to spend their free time and play with this environment, and as a by-product of having fun, learn more about visual programming.		177	186	9	IEEE			X						
Björk S.; Holopainen J.; Ljungstrand P.; Åkesson K.-P.	Designing ubiquitous computing games - A report from a workshop exploring ubiquitous computing entertainment	2002	We report from a Research Atelier that explored how ubiquitous computing could be applied to fun and entertainment. The Atelier lasted for five days, starting with two days of scenario development and brainstorming activities. This led to three fairly concrete - though very different - game ideas. The background and motivation for the Atelier is described, as well as the method used and the games developed. © Springer-Verlag London Ltd 2002.	Computer games; Computer-based entertainment; Game design; Ubiquitous computing	443	458	15	Scopus			X	?	O	O	O		
Lin H.; Sun C.	Problems in simulating social reality: Observations on a MUD construction	2003	The authors look at computer-mediated simulation as an approach to studying social science issues and discuss its limitations, with the design process for a Multiple-User Dungeon (MUD) game serving as a context. Using data gleaned from interviews with the MUD designers, the authors present three findings: (a) fun is a key difference between simulations and reality, because a MUD user can always walk away from a game that is not fun but cannot walk away from difficult real-life situations; (b) simulated social systems require time and commitment from a fairly large population, which conflicts with the typical level of patience observed in most computer game players; and (c) the roles of technicians and designers as mediators in simulated social environments is an area requiring detailed study, because their attitudes toward technical constraints, social values, and stereotypes exert a strong influence on the appearance of their final products. © 2003 Sage Publications.	computer-mediated simulation; cyberspace; online game; simulated reality	69	88	19	Scopus			O	O	O	O	O	O	O
