Authors	Tittle	Other	Layer	ANOT
	Adams E., Rollings A., Game Design and Development: Fundamentals of Game Design, (2007)		1	
	Agarwal R., Karahanna E., Time flies when you’re having fun: Cognitive absorption and beliefs about information technology usage, MIS quarterly, 24, 4, pp. 665-694, (2000)		1	
	Barab B.A., Thomas M., Dodge T., Carteaux R., Tuzun H., Making learning fun: Quest Atlantis, a game without guns, Educational Technology Research and Development, 53, pp. 86-108, (2005)		1	
	Blythe M., Hassenzahl M., The semantics of fun: differentiating enjoyable experiences, Funology 2: From Usability to Enjoyment. HIS, pp. 375-387, (2018)		1	
	Blythe M., Hassenzahl M., The semantics of fun: Differentiating enjoyable pleasures, Funology: From usability to enjoyment, pp. 91-100, (2004)		1	
	Blythe M.A., Overbeeke K., Monk F.A., Wright C.P., Funology from Usability to Enjoyment, (2004)		1	
	Burns K., EVE's entropy: A formal gauge of fun in games, Advanced Intelligent Paradigms in Computer Games, 71, pp. 153-173, (2007)		1	
	Burns K., Fun in slots, Proc. IEEE Symposium on Computational Intelligence in Games, (2006)		1	
	Burns K., Fun in Slots, Proceedings of the IEEE Conference on Computational Intelligence in Games, (2006)		1	
	Cole T., Cairns P., Gillies M., Emotional and Functional Challenge in Core and Avant-Garde Games, Proceedings of the 2015 Annual Symposium on Computer-Human Interaction in Play, pp. 121-126, (2015)		1	
	Davis S.B., Carini C., Constructing a player-centred definition of fun for video games design, People and computers XVIII—Design for life, pp. 117-132, (2005)		1	
	Draper S.W., Practical problems and proposed solutions in designing action-centered documentation, Minimalism beyond the Numberg Funnel, pp. 349-374, (1998)		1	
	Ermi L., Mayra F., Fundamental Components of the Gameplay Experience: Analysing Immersion, Proceedings of the DiGRA Conference		1	
	Fallis A.G., A Theory of Fun for Game Design, (2013)		1	
	Falstein N., Understanding fun - The theory of natural funativity, Introduction to Game Development, pp. 71-98, (2005)		1	
G. N. Yannakakis and J. Hallam	Feature Selection for Capturing the Experience of Fun	in AIIDE'07 Workshop on Optimizing Player Satisfaction, 2007, pp. 37-42.	1	
	Fincham B., The sociology of fun, (2016)		1	
	Fincham B., Theorising fun, The Sociology of Fun, pp. 27-46, (2016)		1	
